pair_id,sent_1,sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,option_1,option_2,option_1_word_id_1,option_2_word_id_1,option_1_word_id_2,option_2_word_id_2,context_1,context_2,context_word_id,verb_1,verb_2,verb_word_id_1,verb_word_id_2
2-3G3AJKPCXN6Z7DGUU1LXE0GI4AT4YN,Eric asked Ian if he could pass him in line at the checkout at a supermarket because _ has far fewer items.,Eric asked Ian if he could pass him in line at the checkout at a supermarket because _ has far less items.,_,_,17,17,Eric,Ian,0,2,0,2,fewer,less,20,has,has,18,18
2-38XPGNCKHVEI3JLPPQYD71COMD44VV,"Nick gets jock itch a lot, while Jason has never even worn a jock strap. _ is athletic.","Nick gets jock itch a lot, while Jason has never even worn a jock strap. _ is muscular.",_,_,15,15,Nick,Jason,0,7,0,7,athletic,muscular,17,is,is,16,16
2-3HA5ODM5KC6154N0FRUV54SV12XVS4,The dog could not see that the pole is behind the fence because the _ is shorter.,The dog could not see that the pole is behind the fence because the _ is lower.,_,_,14,14,pole,fence,7,11,7,11,shorter,lower,16,is,is,15,15
2-3PKJ68EHDPA3O09QN84DY2AZYFIJHI,The snow storm in England is less severe than the rain because the _ happens seldom.,The snow storm in England is less severe than the rain because the _ happens rarely.,_,_,13,13,snow storm,rain,1,10,1,10,seldom,rarely,15,happens,happens,14,14
2-3ZURAPD28A1CFN2G2TA7RH2ZMZ61FR,"Summers are easy for Kayla because she doesn't work, while Laura has to work; _ is a schoolteacher.","Summers are easy for Kayla because she doesn't work, while Laura has to work; _ is a ski instructor.",_,_,14,14,Kayla,Laura,4,10,4,10,schoolteacher,ski instructor,17,is,is,15,15
2-3TZ0XG8CBUI6VOWHEU7U4XFO4CW984,"At the house, Dennis would leave the sprinkler on unlike Neil because _ is forgetful.","At the house, Dennis would leave the sprinkler on unlike Neil because _ is absentminded.",_,_,12,12,Dennis,Neil,3,10,3,10,forgetful,absentminded,14,is,is,13,13
2-3WGZLY9VCJ0XS385A8OWIRMNP1N8DJ,"If you wonder whether to use ink or a pencil to do your homework, the _ is harder to fix later.","If you wonder whether to use ink or a pencil to do your homework, the _ is difficult to fix later.",_,_,15,15,ink,pencil,6,9,6,9,harder,difficult,17,is,is,16,16
2-3XJOUITW8W5AFW4YIS5B9MP9M8ITQD,"James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is bigger.","James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is heavier.",_,_,24,24,box,bag,3,21,3,21,bigger,heavier,26,is,is,25,25
2-39AYGO6AFHYJA1GU6N51UI2PWGI6N5,James regretted eating the unripe mango and later decided to eat the apple instead because he found out the _ was sour.,James regretted eating the unripe mango and later decided to eat the apple instead because he found out the _ was bitter.,_,_,19,19,mango,apple,5,12,5,12,sour,bitter,21,was,was,20,20
2-3O71U79SRBN3LSUKH1H4QAL9LPYSMJ,"You can use both flour and cornstarch to thicken soups, but the _ is a more common kitchen ingredient.","You can use both flour and cornstarch to thicken soups, but the _ is a very common kitchen ingredient.",_,_,12,12,flour,cornstarch,4,6,4,6,more,very,15,is,is,13,13
2-3L1EFR8WWT3FA364M8D0EPWAWYBF9Y,Christine kept badgering Monica to get her affection and attention because _ is the daughter.,Christine kept badgering Monica to get her affection and attention because _ is the child.,_,_,11,11,Christine,Monica,0,3,0,3,daughter,child,14,is,is,12,12
2-33BFF6QPI3PA0C2QFMYQJY3WFM9W3B,Amy's skirt is much shorter than the one that Victoria is wearing; _ wants more attention.,Amy's skirt is much shorter than the one that Victoria is wearing; _ wants large attention.,_,_,12,12,Amy,Victoria,0,9,0,9,more,large,14,wants,wants,13,13
2-3LB1BGHFL4AJOYVK92M5M8SBMJCYT3,Michael convinced Randy that his priceless glass vase was a knockoff because _ is deceitful.,Michael convinced Randy that his priceless glass vase was a knockoff because _ is sneaky.,_,_,12,12,Michael,Randy,0,2,0,2,deceitful,sneaky,14,is,is,13,13
2-34F34TZU7YDZ9A684N16BY4X8TA2JM,"Tanya really does not see many humans, just Laura; _ is a hermit.","Tanya really does not see many humans, just Laura; _ is very lonely.",_,_,9,9,Tanya,Laura,0,8,0,8,a hermit,very lonely,11,is,is,10,10
2-3JMNNNO3B126L570RO8L8QAWLUE2WC,I chose the milk chocolate bar over the dark chocolate chip for my reward because the _ was bigger.,I chose the milk chocolate bar over the dark chocolate chip for my reward because the _ was larger.,_,_,16,16,bar,chip,5,10,5,10,bigger,larger,18,was,was,17,17
2-3CRWSLD91MI3HP1YUICVY3ZHDZ4MOX,The alarm sounding in the other room got the birds quacking but James can only hear the quack because the _ is farther.,The alarm sounding in the other room got the birds quacking but James can only hear the quack because the _ is distant.,_,_,20,20,alarm,quack,1,17,1,17,farther,distant,22,is,is,21,21
2-3LEG2HW4UH1J48KCLXALW0C4EKU2FD,James put the egg in the refrigerator and the meat in the sun. Now the _ is cold.,James put the egg in the refrigerator and the meat in the sun. Now the _ is cool.,_,_,15,15,egg,meat,3,9,3,9,cold,cool,17,is,is,16,16
2-3YKP7CX6G2DLJ36V29TKH3EJM8W7BT,My trainer advised that both freelance job and salaried employment are great but the _ is less secure.,My trainer advised that both freelance job and salaried employment are great but the _ is not secure.,_,_,14,14,freelance job,salaried employment,5,8,5,8,less,not,16,is,is,15,15
2-3X52SWXE0ZJYDCY98F9RC17RM8DWCL,It took the food ten additional minutes to cook over the flame because the _ was too big.,It took the food ten additional minutes to cook over the flame because the _ was too large.,_,_,14,14,food,flame,3,11,3,11,big,large,17,was,was,15,15
2-3RWO3EJELJNO60RAGW6C3BG4PP01P8,James threw the ball into the basket but it could not enter it. The _ is very big.,James threw the ball into the basket but it could not enter it. The _ is very large.,_,_,14,14,ball,basket,3,6,3,6,big,large,17,is,is,15,15
2-3ZQA3IO31D56L0F91WTXEBBDE6T1OL,The cotton bud could not get into the ear of the hamster because the _ is large.,The cotton bud could not get into the ear of the hamster because the _ is massive.,_,_,14,14,bud,ear,2,8,2,8,large,massive,16,is,is,15,15
2-3NCN4N1H1IVPGDXP2EM95YOICS8BN0,Kyle handed the letter to Randy for help because _ is illiterate.,Kyle handed the letter to Randy for help because _ is unable to read.,_,_,9,9,Kyle,Randy,0,5,0,5,illiterate,unable to read,11,is,is,10,10
2-3N2YPY1GI8C0VLIIEWAQGNOFZH8EVF,"The dog treat outweighed the drink, hence James decided to add more drink because the _ is heavier.","The dog treat outweighed the drink, hence James decided to add more drink because the _ is massive.",_,_,15,15,treat,drink,2,5,2,5,heavier,massive,17,is,is,16,16
2-36GJS3V78X4PO4EF32MVD2YXHV5GJ8,"Emily can only do 10 push ups, while Laura can do 50, so _ is weaker.","Emily can only do 10 push ups, while Laura can do 50, so _ is feeble.",_,_,13,13,Emily,Laura,0,8,0,8,weaker,feeble,15,is,is,14,14
2-38LRF35D5NAX88DLKMJP1AIZUGPU3L,"Josh had to clean sand off his feet but not his hands after going to the beach because, in general, the _ touch the sand more often.","Josh had to clean sand off his feet but not his hands after going to the beach because, in general, the _ touch the sand very often.",_,_,21,21,feet,hands,7,11,7,11,more,very,25,touch,touch,22,22
2-3WPCIUYH1CMGQN0TD6ZR9NIA3C5TDM,The child was not happy with the shoe that slipped off his leg when he was running. The _ is big.,The child was not happy with the shoe that slipped off his leg when he was running. The _ is large.,_,_,18,18,shoe,leg,7,12,7,12,big,large,20,is,is,19,19
2-329E6HTMSYGJ5C89Q8FNVN91SR43KE,"Dennis has to dig more deeply than Jeffrey to get water, because _ lives far from a water source.","Dennis has to dig more deeply than Jeffrey to get water, because _ lives distant from a water source.",_,_,12,12,Dennis,Jeffrey,0,7,0,7,far from,distant from,14,lives,lives,13,13
2-3HA5ODM5KAQMBFOTVTIVD64M7ZGSVZ,Making food in the slow cooker suited Tanya but not Felicia because _ works longer hours.,Making food in the slow cooker suited Tanya but not Felicia because _ works extended hours.,_,_,12,12,Tanya,Felicia,7,10,7,10,longer,extended,14,works,works,13,13
2-3VMV5CHJZATJ27AKFW0ZF8L7GL9GT5,I can't concentrate in silence so I'd rather go to the cafe instead of the library to study since the _ is not quiet.,I can't concentrate in silence so I'd rather go to the cafe instead of the library to study since the _ is never quiet.,_,_,20,20,cafe,library,11,15,11,15,not,never,22,is,is,21,21
2-31KPKEKW4AB71S6BHA8B2O4WEWHB0S,The old capacitor would not fit in the box because the _ is too awkward.,The old capacitor would not fit in the box because the _ is too weird.,_,_,11,11,capacitor,box,2,8,2,8,awkward,weird,14,is,is,12,12
2-3EGKVCRQFY6JSC139GVKMEMPFVDYBF,James finished watching the movie while on a journey to his hometown. The _ was short.,James finished watching the movie while on a journey to his hometown. The _ was quick.,_,_,13,13,movie,journey,4,8,4,8,short,quick,15,was,was,14,14
2-3DWNFENNE599COLV81KU4D1VTAWJ4W,John had to buy another ring as it would not fit the finger of his fiancee. The _ is small.,John had to buy another ring as it would not fit the finger of his fiancee. The _ is tiny.,_,_,17,17,ring,finger,5,12,5,12,small,tiny,19,is,is,18,18
2-322ZSN9Z5IY3QRH0KVYY6JO3P6N4T6,Randy runs a trash removal service and he met Kyle at the job site; _ is the business owner.,Randy runs a trash removal service and he met Kyle at the job site; _ is the businessperson.,_,_,14,14,Randy,Kyle,0,9,0,9,business owner,businessperson,17,is,is,15,15
2-3XWUWJ18TN4H72Q4Z6FQOJ8Z7YSUUM,The milk gets colder when mixed with the ice cube in the cup because the _ is hot.,The milk gets colder when mixed with the ice cube in the cup because the _ is warm.,_,_,15,15,milk,ice cube,1,8,1,8,hot,warm,17,is,is,16,16
2-3Q9SPIIRWL0AKX1BO1D066H3MG8WAL,James was panting more heavily when he jogged on the street compared to when he jogged on the lawn because the _ is longer.,James was panting more heavily when he jogged on the street compared to when he jogged on the lawn because the _ is lengthy.,_,_,21,21,street,lawn,10,18,10,18,longer,lengthy,23,is,is,22,22
2-3LOJFQ4BOXD2TFBZZZ9ZGY75VBGKDN,Nancy preferred to eat popcorn rather than candy at the movies because the _ is saltier.,Nancy preferred to eat popcorn rather than candy at the movies because the _ is savory.,_,_,13,13,popcorn,candy,4,7,4,7,saltier,savory,15,is,is,14,14
2-3W1K7D6QSDVJX2B852X30LVQKMMZB3,Janet was able to prevent her pad from leaking her period because the _ was big.,Janet was able to prevent her pad from leaking her period because the _ was large.,_,_,13,13,pad,period,6,10,6,10,big,large,15,was,was,14,14
2-3OJX0UFJ01LJNA211VKZSNLMV7ZU93,John emptied the water from the bottle into the cup but we still have some left in the bottle. The _ is big.,John emptied the water from the bottle into the cup but we still have some left in the bottle. The _ is large.,_,_,20,20,bottle,cup,6,9,6,9,big,large,22,is,is,21,21
2-3VEI3XUCZTBCZ5QREQLR92YGSDDRPQ,James could see the other side of the room through the plate unlike the board that was there before. Definitely the _ is transparent.,James could see the other side of the room through the plate unlike the board that was there before. Definitely the _ is clear.,_,_,21,21,plate,board,11,14,11,14,transparent,clear,23,is,is,22,22
2-3CRWSLD91MI3HP1YUICVY3ZHE1HOMH,Leslie was able to jump to the top of the wall while leaving Brian behind because _ is tall.,Leslie was able to jump to the top of the wall while leaving Brian behind because _ is big.,_,_,16,16,Leslie,Brian,0,13,0,13,tall,big,18,is,is,17,17
2-3W9XHF7WGKT9A47WLP9EL2PRYZWKT2,I cannot forgive the hurt he made me feel as much as I love him because the _ is too strong.,I cannot forgive the hurt he made me feel as much as I love him because the _ is too much.,_,_,17,17,hurt,love,4,13,4,13,strong,much,20,is,is,18,18
2-3FDWKV9VCPGYUULVQ4O4X9R6WN5MUS,"Jeffrey has to take the medication for his diabetes, but Joel doesn't have that problem; _ is likely to eat too much sugar.","Jeffrey has to take the medication for his diabetes, but Joel doesn't have that problem; _ is likely to eat much more sugar.",_,_,15,15,Jeffrey,Joel,0,10,0,10,too much,much more,20,is,is,16,16
2-33CLA8O0MKP08S1X0NPMX8KDSL8FRP,The toilet is worse than my wife's closet because the _ is a small space.,The toilet is worse than my wife's closet because the _ is a tight space.,_,_,10,10,toilet,closet,1,7,1,7,small,tight,13,is,is,11,11
2-3UQVX1UPFSFDDF6FYHF01V1SF7V02Z,"Gmail is so yesterday, Samantha thought, as Jennifer talked about it; _ is on top of new trends.","Gmail is so yesterday, Samantha thought, as Jennifer talked about it; _ is keeping up with new trends.",_,_,11,11,Samantha,Jennifer,4,7,4,7,on top of,keeping up with,13,is,is,12,12
2-3ABAOCJ4RAI621EE9V4ZN8UHTXTQMB,We cannot see the letters written on the red shirt but we can see the numbers because the _ are red.,We cannot see the letters written on the red shirt but we can see the numbers because the _ are scarlet.,_,_,18,18,letters,numbers,4,15,4,15,red,scarlet,20,are,are,19,19
2-39O0SQZVJPLNTZMRI4RA9G7WTXTR70,The water did not get to the bottom of the bowl after James poured water on the soil in it. Just the _ is dry.,The water did not get to the bottom of the bowl after James poured water on the soil in it. Just the _ is dried.,_,_,22,22,bowl,soil,10,17,10,17,dry,dried,24,is,is,23,23
2-38VTL6WC4CRH3WKU8647JSMX5A7Y5G,"Although broccoli and steak can both be part of a healthy diet, the _ has more antioxidants.","Although broccoli and steak can both be part of a healthy diet, the _ has plentiful antioxidants.",_,_,13,13,broccoli,steak,1,3,1,3,more,plentiful,15,has,has,14,14
2-338GLSUI45PC971AFCPRNIP9D67SF7,I selected the hammer instead of the mallet as my tool choice since the _ is lighter and I'm out of shape.,I selected the hammer instead of the mallet as my tool choice since the _ is lightweight and I'm out of shape.,_,_,14,14,hammer,mallet,3,7,3,7,lighter,lightweight,16,is,is,15,15
2-33QQ60S6AUW1RGEO1Z16ZCKTSEM0U0,The trumpet had to be blown into the mic to be as audible as the drum because the _ was softer.,The trumpet had to be blown into the mic to be as audible as the drum because the _ was quiet.,_,_,18,18,trumpet,drum,1,15,1,15,softer,quiet,20,was,was,19,19
2-329E6HTMSW04BN926A3N3PLTZJHK3G,Playing Scrabble is fun for Hunter but not Joel because _ knows a lot of difficult words.,Playing Scrabble is fun for Hunter but not Joel because _ knows a lot of complex words.,_,_,10,10,Hunter,Joel,5,8,5,8,difficult,complex,15,knows,knows,11,11
2-3SNR5F7R947V9FYIFPB71YYMSK9EIS,James was writing a poem on his jotter when the ink finished. The _ is long.,James was writing a poem on his jotter when the ink finished. The _ is extensive.,_,_,13,13,poem,ink,4,10,4,10,long,extensive,15,is,is,14,14
2-3K8CQCU3KGFH4GV0X5I5SC12KIANWM,The avocado smeared over the tree when James threw it at the tree. The _ was pretty soft.,The avocado smeared over the tree when James threw it at the tree. The _ was pretty yielding.,_,_,14,14,avocado,tree,1,5,1,5,soft,yielding,17,was,was,15,15
2-3BPP3MA3TEYXZG6O0S8KTEQE9O3EL6,"The plane took off without any problems with the engine, but now it gets to altitude, and the _ has started to shake violently.","The plane took off without any problems with the engine, but now it gets to altitude, and the _ has started to swing uncontrollably.",_,_,18,18,plane,engine,1,9,1,9,shake violently,swing uncontrollably,22,has,has,19,19
