pair_id,sent_1,sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,option_1,option_2,option_1_word_id_1,option_2_word_id_1,option_1_word_id_2,option_2_word_id_2,context_1,context_2,context_word_id,verb_1,verb_2,verb_word_id_1,verb_word_id_2,pron_1_replacement,pron_2_replacement,pron_1_new,pron_2_new
1-32L724R85LIKCHO145FI3C9HHW7PIK,Tim decided to shave his beard instead of his sideburns since his wife thought that his _ was uglier.,Tim decided to shave his beard instead of his sideburns since his wife thought that his _ were tolerable.,_,_,16,16,beard,sideburns,5,9,5,9,uglier,tolerable,18,was,were,17,17,it,they,his _,his _
1-35XW21VSVISY9ZB61NSPIVUTBGOLST,John almost emptied his gas tank while driving around the borders of the new town. The _ is small.,John almost emptied his gas tank while driving around the borders of the new town. The _ are long.,_,_,16,16,tank,borders,5,10,5,10,small,long,18,is,are,17,17,It,They,The _,The _
1-375VSR8FVW7RJKTQH17T82CMERXRZB,The horns will not fit on the teenager's head because the _ are extremely tapered.,The horns will not fit on the teenager's head because the _ is extremely broad.,_,_,11,11,horns,head,1,8,1,8,tapered,broad,14,are,is,12,12,they,it,the _,the _
1-33CLA8O0MI9LE32QGPDM5AW42L1RFJ,"Robert threw the dish on the floor and the housekeepers cleaned it up, because _ is the master.","Robert threw the dish on the floor and the housekeepers cleaned it up, because _ are the servants.",_,_,14,14,Robert,the housekeepers,0,8,0,8,master,servants,17,is,are,15,15,he,they,_,_
1-33CLA8O0MKP08S1X0NPMX8KDRJWRFK,James dropped the crayons on the table and they got broken. The _ are brittle.,James dropped the crayons on the table and they got broken. The _ is hard.,_,_,12,12,crayons,table,3,6,3,6,brittle,hard,14,are,is,13,13,They,It,The _,The _
1-3HJ1EVZS2QX5SGL4GSOKWZVGOV7R3V,James managed to put the files into the crack because the _ were flat enough.,James managed to put the files into the crack because the _ was wide enough.,_,_,11,11,files,crack,5,8,5,8,flat,wide,13,were,was,12,12,they,it,the _,the _
1-359AP8GAGGI4T8Y1G9PFSNK14URC72,Ellen opted to eat the tortilla rather than the nachos because she is on a low-carb diet. The _ has less carbs.,Ellen opted to eat the tortilla rather than the nachos because she is on a low-carb diet. The _ have more carbs.,_,_,18,18,tortilla,nachos,5,9,5,9,less,more,20,has,have,19,19,It,They,The _,The _
1-37SDSEDIN90O6JTMAHS1PRX56ZT81D,Rachel drinks a lot of milk but her classmates do not and as a result _ has very strong bones.,Rachel drinks a lot of milk but her classmates do not and as a result _ have very weak bones.,_,_,15,15,Rachel,her classmates,0,7,0,7,strong,weak,18,has,have,16,16,she,they,_,_
1-3UL5XDRDNEX2OQTCV26DKFYUBHU857,Jane's finger could not fit into the rings her boyfriend bought for her because the _ is wide.,Jane's finger could not fit into the rings her boyfriend bought for her because the _ are small.,_,_,15,15,finger,rings,1,7,1,7,wide,small,17,is,are,16,16,it,they,the _,the _
1-3PUV2Q8SV4210C75TMW6HVOF37MBDK,"Rachel enjoys sleeping on the ground, while her friends really can't stand it, because _ happens to prefer hard surfaces.","Rachel enjoys sleeping on the ground, while her friends really can't stand it, because _ happen to prefer soft surfaces.",_,_,14,14,Rachel,her friends,0,7,0,7,hard,soft,18,happens,happen,15,15,she,they,_,_
1-3Y3CZJSZ9KRTC691AD0DJY5R8815RL,"Ian likes dark chocolate more than his sisters, who prefer milk chocolate, so _ is likely to be more mature.","Ian likes dark chocolate more than his sisters, who prefer milk chocolate, so _ are likely to be childlike.",_,_,13,13,Ian,his sisters,0,6,0,6,more mature,childlike,18,is,are,14,14,he,they,_,_
1-3D4BBDG7ZJA1MEWLYVYP74WTNCO3CI,The basketballs did no go through the net when they were dunked because the _ are big.,The basketballs did no go through the net when they were dunked because the _ is narrow.,_,_,14,14,basketballs,net,1,7,1,7,big,narrow,16,are,is,15,15,they,it,the _,the _
1-3IVEC1GSLPXDQ0P51LPSEH6JRUC1JO,Megan is a criminal defense lawyer and her colleagues is a family lawyer. _ is less knowledgeable about custody laws.,Megan is a criminal defense lawyer and her colleagues is a family lawyer. _ are more knowledgeable about custody laws.,_,_,13,13,Megan,her colleagues,0,7,0,7,less,more,15,is,are,14,14,She,They,_,_
1-3TD33TP5DNGIWU30TAH4JS4ICFQBAK,James could not get his new bracelets onto his wrist because his _ are too small.,James could not get his new bracelets onto his wrist because his _ is too big.,_,_,12,12,bracelets,wrist,6,9,6,9,small,big,15,are,is,13,13,they,it,his _,his _
1-3SX4X51T82N2FOS9XFMQPC4GI0ZOAW,The cards got scratched when they were continuously dragged over the table because the _ are smooth.,The cards got scratched when they were continuously dragged over the table because the _ is rough.,_,_,14,14,cards,table,1,11,1,11,smooth,rough,16,are,is,15,15,they,it,the _,the _
1-3UYRNV2KIVD6EFZIZ22ZEWYH35P8N1,The mouse got stuck in a hole while running with wood branches in its mouth. The _ is small.,The mouse got stuck in a hole while running with wood branches in its mouth. The _ are wide.,_,_,16,16,hole,wood branches,6,10,6,10,small,wide,18,is,are,17,17,It,They,The _,The _
1-3FULMHZ7OWBZDWRGBYXMK5TCX4RM43,The flags were not blowing in the wind when they were raised on the pole. The _ were heavy.,The flags were not blowing in the wind when they were raised on the pole. The _ was light.,_,_,16,16,flags,wind,1,7,1,7,heavy,light,18,were,was,17,17,They,It,The _,The _
1-3538U0YQ1H88PQGVPXOQFAHXM8K3F3,It took the water so much time to boil while placed on the flames because the _ was much.,It took the water so much time to boil while placed on the flames because the _ were low.,_,_,16,16,water,flames,3,13,3,13,much,low,18,was,were,17,17,it,they,the _,the _
1-3E24UO25QZOMYXHZN4TEH9EMTJQO6F,Betty ends up with a lot more knots in her hair than her friends because _ has long hair.,Betty ends up with a lot more knots in her hair than her friends because _ have short hair.,_,_,15,15,Betty,her friends,0,12,0,12,long,short,17,has,have,16,16,she,they,_,_
1-3Y7LTZE0YTKJZCL7LV2YDDZ6G77ZUM,"Popsicles come in many flavors, but Kenneth only likes cherry and his brothers like them all because _ is very picky.","Popsicles come in many flavors, but Kenneth only likes cherry and his brothers like them all because _ are not picky.",_,_,17,17,Kenneth,his brothers,6,11,6,11,very,not,19,is,are,18,18,he,they,_,_
1-3WGCNLZJKHMFH3OKBNFH3HZFC7A1DA,The wheels of the cart had gone through the space but the handle was stuck. The _ are smaller.,The wheels of the cart had gone through the space but the handle was stuck. The _ is wider.,_,_,16,16,wheels,handle,1,12,1,12,smaller,wider,18,are,is,17,17,They,It,The _,The _
1-3MD8CKRQZ11GDUNTJDG7C6C5KD7RJR,James took off his clothes on getting home and took a shower with water because he was sweating. The _ were hot.,James took off his clothes on getting home and took a shower with water because he was sweating. The _ was cold.,_,_,19,19,clothes,water,4,13,4,13,hot,cold,21,were,was,20,20,They,It,The _,The _
1-3JMNNNO3B3ILFU67BMKL0OY5AWMW2S,James realized the bag cannot contain the bottle so he decided to put twenty jars in it. The _ is big.,James realized the bag cannot contain the bottle so he decided to put twenty jars in it. The _ are small.,_,_,18,18,bottle,jars,7,14,7,14,big,small,20,is,are,19,19,It,They,The _,The _
1-3JU8CV4BRNQ92SYBMY4NF7TBHVCPO8,The flags can hardly blow when raised up in the wind because the _ are heavy.,The flags can hardly blow when raised up in the wind because the _ is light.,_,_,13,13,flags,wind,1,10,1,10,heavy,light,15,are,is,14,14,they,it,the _,the _
1-3ACRLU860PSLM7KC9FJQFBU9XJ9BEE,The cat could not climb up through the wall so it used the pillars because the _ was smooth.,The cat could not climb up through the wall so it used the pillars because the _ were rough.,_,_,16,16,wall,pillars,8,13,8,13,smooth,rough,18,was,were,17,17,it,they,the _,the _
1-33Q5P9PUSPKNDI47Z4HYJ7D0940CZJ,"Derrick thought the letter his advisers wrote was way too formal, because _ happens to prefer using a casual style.","Derrick thought the letter his advisers wrote was way too formal, because _ happen to prefer using a professional style.",_,_,12,12,Derrick,his advisers,0,4,0,4,casual,professional,18,happens,happen,13,13,he,they,_,_
1-3VMHWJRYHXUK5ON99MVEMQ61SYRXFS,Mary's bag protected the cloths when she walked in the mud. The _ is dirty.,Mary's bag protected the cloths when she walked in the mud. The _ are clean.,_,_,12,12,bag,cloths,1,4,1,4,dirty,clean,14,is,are,13,13,It,They,The _,The _
1-3JVP4ZJHDR6WIPJO7ICSG9WHXE1I0Z,The cat can only jump from the floor to the tables and not to the top of the shelf because the _ are short.,The cat can only jump from the floor to the tables and not to the top of the shelf because the _ is tall.,_,_,21,21,tables,shelf,10,18,10,18,short,tall,23,are,is,22,22,they,it,the _,the _
1-31SIZS5W5BTXZHR6E30G97ORZO8QRN,The cups got full when James was just emptying the bottle he bought from the store. The _ are small.,The cups got full when James was just emptying the bottle he bought from the store. The _ is large.,_,_,17,17,cups,bottle,1,10,1,10,small,large,19,are,is,18,18,They,It,The _,The _
1-3K3G488TR4M8UUT8HWND66JV65WQ5J,James coated the top of the table with a varnish and left the chairs the way it was. Now the _ is shiny.,James coated the top of the table with a varnish and left the chairs the way it was. Now the _ are dull.,_,_,20,20,table,chairs,6,13,6,13,shiny,dull,22,is,are,21,21,it,they,the _,the _
1-307FVKVSYTTGSTKT7SVX1NWM1JA47V,James realized he could eat more of the apples unlike the banana because the _ are small.,James realized he could eat more of the apples unlike the banana because the _ is large.,_,_,14,14,apples,banana,8,11,8,11,small,large,16,are,is,15,15,they,it,the _,the _
1-3PZDSVZ3J7V5VECGNZCMXKIC1WYN44,The fountain pens cannot write smoothly on the paper because the _ are too sharp.,The fountain pens cannot write smoothly on the paper because the _ is too rough.,_,_,11,11,pens,paper,2,8,2,8,sharp,rough,14,are,is,12,12,they,it,the _,the _
1-3VP28W7DUPY9AJNOA4JZJBMBZKEZFL,The remaining ball of thread could crochet more sweaters for the kids because the _ was big.,The remaining ball of thread could crochet more sweaters for the kids because the _ were small.,_,_,14,14,ball,sweaters,2,8,2,8,big,small,16,was,were,15,15,it,they,the _,the _
1-3XH7ZM9YX48R7IAKX1PUNCY2PKOR9E,John had to return the chairs he bought for his new office as it could not get into it because the _ are big.,John had to return the chairs he bought for his new office as it could not get into it because the _ is small.,_,_,21,21,chairs,office,5,11,5,11,big,small,23,are,is,22,22,they,it,the _,the _
1-3H1C3QRA01HP2NDB3H3LYXCIL0XECP,"At work, Mary takes care of hamsters, but her friends don't; _ works in a pet store.","At work, Mary takes care of hamsters, but her friends don't; _ work in a grocery store.",_,_,11,11,Mary,her friends,2,8,2,8,pet,grocery,15,works,work,12,12,she,they,_,_
1-386T3MLZLP93TJ7BYW013K24VNU80S,Jane had the rings slide down her finger too easily because the _ are too big.,Jane had the rings slide down her finger too easily because the _ is too small.,_,_,12,12,rings,finger,3,7,3,7,big,small,15,are,is,13,13,they,it,the _,the _
1-3R6RZGK0XFAJ7102UZAKVSSNT34VYF,All the routine tasks at work bore Donald but his colleagues are fine with them; _ happens to prefer variety in work.,All the routine tasks at work bore Donald but his colleagues are fine with them; _ happen to prefer consistency in work.,_,_,15,15,Donald,his colleagues,7,9,7,9,variety,consistency,19,happens,happen,16,16,he,they,_,_
1-3G3AJKPCXN6Z7DGUU1LXE0GI4AT4YN,Eric asked the people in front of him if he could pass them in line at the checkout at a supermarket because _ has far fewer items.,Eric asked the people in front of him if he could pass them in line at the checkout at a supermarket because _ have far more items.,_,_,22,22,Eric,the people in front of him,0,2,0,2,fewer,more,25,has,have,23,23,he,they,_,_
1-38XPGNCKHVEI3JLPPQYD71COMD44VV,"Nick gets jock itch a lot, while his roommates have never even worn jock straps. _ is athletic.","Nick gets jock itch a lot, while his roommates have never even worn jock straps. _ are artistic.",_,_,15,15,Nick,his roommates,0,7,0,7,athletic,artistic,17,is,are,16,16,He,They,_,_
1-3HA5ODM5KC6154N0FRUV54SV12XVS4,The dog could not see that the poles are behind the fence because the _ are shorter.,The dog could not see that the poles are behind the fence because the _ is taller.,_,_,14,14,poles,fence,7,11,7,11,shorter,taller,16,are,is,15,15,they,it,the _,the _
1-3PKJ68EHDPA3O09QN84DY2AZYFIJHI,The snow storms in England are less severe than the rain because the _ happen seldom.,The snow storms in England are less severe than the rain because the _ happens always.,_,_,13,13,snow storms,rain,1,10,1,10,seldom,always,15,happen,happens,14,14,they,it,the _,the _
1-3ZURAPD28A1CFN2G2TA7RH2ZMZ61FR,"Summers are easy for Kayla because she doesn't work, while her friends have to work; _ is a schoolteacher.","Summers are easy for Kayla because she doesn't work, while her friends have to work; _ are lifeguards.",_,_,15,15,Kayla,her friends,4,10,4,10,a schoolteacher,lifeguards,17,is,are,16,16,she,they,_,_
1-3TZ0XG8CBUI6VOWHEU7U4XFO4CW984,"At the house, Dennis would leave the sprinkler on unlike his roommates because _ is forgetful.","At the house, Dennis would leave the sprinkler on unlike his roommates because _ are more reliable.",_,_,13,13,Dennis,his roommates,3,10,3,10,forgetful,more reliable,15,is,are,14,14,he,they,_,_
1-3WGZLY9VCJ0XS385A8OWIRMNP1N8DJ,"If you wonder whether to use ink or pencils to do your homework, the _ is harder to fix later.","If you wonder whether to use ink or pencils to do your homework, the _ are easier to fix later.",_,_,14,14,ink,pencils,6,8,6,8,harder,easier,16,is,are,15,15,it,they,the _,the _
1-3XJOUITW8W5AFW4YIS5B9MP9M8ITQD,"James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bags because the _ is bigger.","James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bags because the _ are smaller.",_,_,24,24,box,bags,3,21,3,21,bigger,smaller,26,is,are,25,25,it,they,the _,the _
1-39AYGO6AFHYJA1GU6N51UI2PWGI6N5,James regretted eating the unripe mango and later decided to eat the apples instead because he found out the _ was sour.,James regretted eating the unripe mango and later decided to eat the apples instead because he found out the _ were sweet.,_,_,19,19,mango,apples,5,12,5,12,sour,sweet,21,was,were,20,20,it,they,the _,the _
1-3O71U79SRBN3LSUKH1H4QAL9LPYSMJ,"You can use both flour and starch cubes to thicken soups, but the _ is a more common kitchen ingredient.","You can use both flour and starch cubes to thicken soups, but the _ are a less common kitchen ingredient.",_,_,13,13,flour,starch cubes,4,6,4,6,more,less,16,is,are,14,14,it,they,the _,the _
1-3L1EFR8WWT3FA364M8D0EPWAWYBF9Y,The children kept badgering Monica to get her affection and attention because _ are the daughters.,The children kept badgering Monica to get her affection and attention because _ is the mother.,_,_,12,12,The children,Monica,0,4,0,4,daughters,mother,15,are,is,13,13,they,she,_,_
1-33BFF6QPI3PA0C2QFMYQJY3WFM9W3B,Amy's skirt is much shorter than the ones that her sisters are wearing; _ wants more attention.,Amy's skirt is much shorter than the ones that her sisters are wearing; _ want less attention.,_,_,13,13,Amy,her sisters,0,9,0,9,more,less,15,wants,want,14,14,she,they,_,_
1-3LB1BGHFL4AJOYVK92M5M8SBMJCYT3,Michael convinced the customers that his priceless glass vase was a knockoff because _ is deceitful.,Michael convinced the customers that his priceless glass vase was a knockoff because _ are exploitable.,_,_,13,13,Michael,the customers,0,2,0,2,deceitful,exploitable,15,is,are,14,14,he,they,_,_
1-34F34TZU7YDZ9A684N16BY4X8TA2JM,"Tanya really does not see many humans, just her sons; _ is a hermit.","Tanya really does not see many humans, just her sons; _ are more social.",_,_,10,10,Tanya,her sons,0,8,0,8,a hermit,more social,12,is,are,11,11,she,they,_,_
1-3JMNNNO3B126L570RO8L8QAWLUE2WC,I chose the milk chocolate bar over the dark chocolate chips for my reward because the _ was bigger.,I chose the milk chocolate bar over the dark chocolate chips for my reward because the _ were smaller.,_,_,16,16,bar,chips,5,10,5,10,bigger,smaller,18,was,were,17,17,it,they,the _,the _
1-3CRWSLD91MI3HP1YUICVY3ZHDZ4MOX,The alarm sounding in the other room got the birds quacking but James can only hear the quacks because the _ is farther.,The alarm sounding in the other room got the birds quacking but James can only hear the quacks because the _ are closer.,_,_,20,20,alarm,quacks,1,17,1,17,farther,closer,22,is,are,21,21,it,they,the _,the _
1-3LEG2HW4UH1J48KCLXALW0C4EKU2FD,James put the eggs in the refrigerator and the meat in the sun. Now the _ are cold.,James put the eggs in the refrigerator and the meat in the sun. Now the _ is hot.,_,_,15,15,eggs,meat,3,9,3,9,cold,hot,17,are,is,16,16,they,it,the _,the _
1-3YKP7CX6G2DLJ36V29TKH3EJM8W7BT,My trainer advised that both freelance jobs and salaried employment are great but the _ are less secure.,My trainer advised that both freelance jobs and salaried employment are great but the _ is more secure.,_,_,14,14,freelance jobs,salaried employment,5,8,5,8,less,more,16,are,is,15,15,they,it,the _,the _
1-3X52SWXE0ZJYDCY98F9RC17RM8DWCL,It took the food ten additional minutes to cook over the flames because the _ was too big.,It took the food ten additional minutes to cook over the flames because the _ were too weak.,_,_,14,14,food,flames,3,11,3,11,big,weak,17,was,were,15,15,it,they,the _,the _
1-3RWO3EJELJNO60RAGW6C3BG4PP01P8,James threw the balls into the basket but they could not enter it. The _ are very big.,James threw the balls into the basket but they could not enter it. The _ is very small.,_,_,14,14,balls,basket,3,6,3,6,big,small,17,are,is,15,15,They,It,The _,The _
1-3ZQA3IO31D56L0F91WTXEBBDE6T1OL,The cotton buds could not get into the ear of the hamster because the _ are large.,The cotton buds could not get into the ear of the hamster because the _ is narrow.,_,_,14,14,buds,ear,2,8,2,8,large,narrow,16,are,is,15,15,they,it,the _,the _
1-3NCN4N1H1IVPGDXP2EM95YOICS8BN0,Kyle handed the letter to his colleagues for help because _ is illiterate.,Kyle handed the letter to his colleagues for help because _ are able to read.,_,_,10,10,Kyle,his colleagues,0,5,0,5,illiterate,able to read,12,is,are,11,11,he,they,_,_
1-3N2YPY1GI8C0VLIIEWAQGNOFZH8EVF,"The dog treats outweighed the drink, hence James decided to add more drink because the _ are heavier.","The dog treats outweighed the drink, hence James decided to add more drink because the _ is lighter.",_,_,15,15,treats,drink,2,5,2,5,heavier,lighter,17,are,is,16,16,they,it,the _,the _
1-36GJS3V78X4PO4EF32MVD2YXHV5GJ8,"Emily can only do 10 push ups, while her friends can do 50, so _ is weaker.","Emily can only do 10 push ups, while her friends can do 50, so _ are stronger.",_,_,14,14,Emily,her friends,0,8,0,8,weaker,stronger,16,is,are,15,15,she,they,_,_
1-38LRF35D5NAX88DLKMJP1AIZUGPU3L,"Josh had to clean sand off his feet but not his neck after going to the beach because, in general, the _ touch the sand more often.","Josh had to clean sand off his feet but not his neck after going to the beach because, in general, the _ touches the sand less often.",_,_,21,21,feet,neck,7,11,7,11,more,less,25,touch,touches,22,22,they,it,the _,the _
1-3WPCIUYH1CMGQN0TD6ZR9NIA3C5TDM,The child was not happy with the shoes that slipped off his leg when he was running. The _ are big.,The child was not happy with the shoes that slipped off his leg when he was running. The _ is small.,_,_,18,18,shoes,leg,7,12,7,12,big,small,20,are,is,19,19,They,It,The _,The _
1-329E6HTMSYGJ5C89Q8FNVN91SR43KE,"Dennis has to dig more deeply than his neighbors to get water, because _ lives far from a water source.","Dennis has to dig more deeply than his neighbors to get water, because _ live close to a water source.",_,_,13,13,Dennis,his neighbors,0,7,0,7,far from,close to,15,lives,live,14,14,he,they,_,_
1-3HA5ODM5KAQMBFOTVTIVD64M7ZGSVZ,Making food in the slow cooker suited Tanya but not her roommates because _ works longer hours.,Making food in the slow cooker suited Tanya but not her roommates because _ work shorter hours.,_,_,13,13,Tanya,her roommates,7,10,7,10,longer,shorter,15,works,work,14,14,she,they,_,_
1-3VMV5CHJZATJ27AKFW0ZF8L7GL9GT5,I can't concentrate in silence so I'd rather go to the cafes instead of the library to study since the _ are not quiet.,I can't concentrate in silence so I'd rather go to the cafes instead of the library to study since the _ is too quiet.,_,_,20,20,cafes,library,11,15,11,15,not,too,22,are,is,21,21,they,it,the _,the _
1-31KPKEKW4AB71S6BHA8B2O4WEWHB0S,The old capacitors would not fit in the box because the _ are too awkward.,The old capacitors would not fit in the box because the _ is too straight.,_,_,11,11,capacitors,box,2,8,2,8,awkward,straight,14,are,is,12,12,they,it,the _,the _
1-3EGKVCRQFY6JSC139GVKMEMPFVDYBF,James finished watching the movies while on a journey to his hometown. The _ were short.,James finished watching the movies while on a journey to his hometown. The _ was long.,_,_,13,13,movies,journey,4,8,4,8,short,long,15,were,was,14,14,They,It,The _,The _
1-3DWNFENNE599COLV81KU4D1VTAWJ4W,John had to buy another ring as it would not fit the fingers of his fiancee. The _ is small.,John had to buy another ring as it would not fit the fingers of his fiancee. The _ are big.,_,_,17,17,ring,fingers,5,12,5,12,small,big,19,is,are,18,18,It,They,The _,The _
1-322ZSN9Z5IY3QRH0KVYY6JO3P6N4T6,Randy runs a trash removal service and he met his colleagues at the job site; _ is the business owner.,Randy runs a trash removal service and he met his colleagues at the job site; _ are the property owners.,_,_,15,15,Randy,his colleagues,0,9,0,9,business owner,property owners,18,is,are,16,16,he,they,_,_
1-3XWUWJ18TN4H72Q4Z6FQOJ8Z7YSUUM,The milk gets colder when mixed with the ice cubes in the cup because the _ is hot.,The milk gets colder when mixed with the ice cubes in the cup because the _ are cold.,_,_,15,15,milk,ice cubes,1,8,1,8,hot,cold,17,is,are,16,16,it,they,the _,the _
1-3Q9SPIIRWL0AKX1BO1D066H3MG8WAL,James was panting more heavily when he jogged on the streets compared to when he jogged on the lawn because the _ are longer.,James was panting more heavily when he jogged on the streets compared to when he jogged on the lawn because the _ is shorter.,_,_,21,21,streets,lawn,10,18,10,18,longer,shorter,23,are,is,22,22,they,it,the _,the _
1-3LOJFQ4BOXD2TFBZZZ9ZGY75VBGKDN,Nancy preferred to eat popcorn rather than candy bars at the movies because the _ is saltier.,Nancy preferred to eat popcorn rather than candy bars at the movies because the _ are sweeter.,_,_,14,14,popcorn,candy bars,4,7,4,7,saltier,sweeter,16,is,are,15,15,it,they,the _,the _
1-3W1K7D6QSDVJX2B852X30LVQKMMZB3,Janet was able to prevent her pads from leaking her period because the _ were big.,Janet was able to prevent her pads from leaking her period because the _ was low.,_,_,13,13,pads,period,6,10,6,10,big,low,15,were,was,14,14,they,it,the _,the _
1-3OJX0UFJ01LJNA211VKZSNLMV7ZU93,John emptied the water from the bottle into the cups but we still have some left in the bottle. The _ is big.,John emptied the water from the bottle into the cups but we still have some left in the bottle. The _ are small.,_,_,20,20,bottle,cups,6,9,6,9,big,small,22,is,are,21,21,It,They,The _,The _
1-3VEI3XUCZTBCZ5QREQLR92YGSDDRPQ,James could see the other side of the room through the plates unlike the board that was there before. Definitely the _ are transparent.,James could see the other side of the room through the plates unlike the board that was there before. Definitely the _ is opaque.,_,_,21,21,plates,board,11,14,11,14,transparent,opaque,23,are,is,22,22,they,it,the _,the _
1-3CRWSLD91MI3HP1YUICVY3ZHE1HOMH,Leslie was able to jump to the top of the wall while leaving her friends behind because _ is tall.,Leslie was able to jump to the top of the wall while leaving her friends behind because _ are short.,_,_,17,17,Leslie,her friends,0,13,0,13,tall,short,19,is,are,18,18,she,they,_,_
1-3W9XHF7WGKT9A47WLP9EL2PRYZWKT2,I cannot forgive the hurt and regret he made me feel as much as I love him because the _ are too strong.,I cannot forgive the hurt and regret he made me feel as much as I love him because the _ is too weak.,_,_,19,19,hurt and regret,love,4,15,4,15,strong,weak,22,are,is,20,20,they,it,the _,the _
1-3FDWKV9VCPGYUULVQ4O4X9R6WN5MUS,"Jeffrey has to take the medication for his diabetes, but his teammates don't have that problem; _ is likely to eat too much sugar.","Jeffrey has to take the medication for his diabetes, but his teammates don't have that problem; _ are likely to eat barely any sugar.",_,_,16,16,Jeffrey,his teammates,0,10,0,10,too much,barely any,21,is,are,17,17,he,they,_,_
1-33CLA8O0MKP08S1X0NPMX8KDSL8FRP,The toilet is worse than my wife's closets because the _ is a small space.,The toilet is worse than my wife's closets because the _ are a huge space.,_,_,10,10,toilet,closets,1,7,1,7,small,huge,13,is,are,11,11,it,they,the _,the _
1-3UQVX1UPFSFDDF6FYHF01V1SF7V02Z,"Gmail is so yesterday, Samantha thought, as her friends talked about it; _ is on top of new trends.","Gmail is so yesterday, Samantha thought, as her friends talked about it; _ are not aware of new trends.",_,_,12,12,Samantha,her friends,4,7,4,7,on top of,not aware of,14,is,are,13,13,she,they,_,_
1-3ABAOCJ4RAI621EE9V4ZN8UHTXTQMB,We cannot see the letters written on the red shirt but we can see the number because the _ are red.,We cannot see the letters written on the red shirt but we can see the number because the _ is white.,_,_,18,18,letters,number,4,15,4,15,red,white,20,are,is,19,19,they,it,the _,the _
1-39O0SQZVJPLNTZMRI4RA9G7WTXTR70,The water did not get to the bottom of the bowls after James poured water on the soil in them. Just the _ are dry.,The water did not get to the bottom of the bowls after James poured water on the soil in them. Just the _ is wet.,_,_,22,22,bowls,soil,10,17,10,17,dry,wet,24,are,is,23,23,they,it,the _,the _
