pair_id,sent_1,sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,option_1,option_2,option_1_word_id_1,option_2_word_id_1,option_1_word_id_2,option_2_word_id_2,context_1,context_2,context_word_id,verb_1,verb_2,verb_word_id_1,verb_word_id_2
3-3PKJ68EHDPA3O09QN84DY2AZYFIJHI,The snow storm in England is less severe than the rain because the _ happens frequently.,The snow storm in England is less severe than the rain because the _ happens always.,_,_,13,13,rain,snow storm,10,1,10,1,frequently,always,15,happens,happens,14,14
3-3ZURAPD28A1CFN2G2TA7RH2ZMZ61FR,"Summers are easy for Kayla because she doesn't work, while Laura has to work; _ is a camp counselor.","Summers are easy for Kayla because she doesn't work, while Laura has to work; _ is a lifeguard.",_,_,14,14,Laura,Kayla,10,4,10,4,camp counselor,lifeguard,17,is,is,15,15
3-3TZ0XG8CBUI6VOWHEU7U4XFO4CW984,"At the house, Dennis would leave the sprinkler on unlike Neil because _ is trustworthy.","At the house, Dennis would leave the sprinkler on unlike Neil because _ is more reliable.",_,_,12,12,Neil,Dennis,10,3,10,3,trustworthy,more reliable,14,is,is,13,13
3-3WGZLY9VCJ0XS385A8OWIRMNP1N8DJ,"If you wonder whether to use ink or a pencil to do your homework, the _ is quick to fix later.","If you wonder whether to use ink or a pencil to do your homework, the _ is easier to fix later.",_,_,15,15,pencil,ink,9,6,9,6,quick,easier,17,is,is,16,16
3-3XJOUITW8W5AFW4YIS5B9MP9M8ITQD,"James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is lighter.","James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is smaller.",_,_,24,24,bag,box,21,3,21,3,lighter,smaller,26,is,is,25,25
3-39AYGO6AFHYJA1GU6N51UI2PWGI6N5,James regretted eating the unripe mango and later decided to eat the apple instead because he found out the _ was delicious.,James regretted eating the unripe mango and later decided to eat the apple instead because he found out the _ was sweet.,_,_,19,19,apple,mango,12,5,12,5,delicious,sweet,21,was,was,20,20
3-3O71U79SRBN3LSUKH1H4QAL9LPYSMJ,"You can use both flour and cornstarch to thicken soups, but the _ is a more bizarre kitchen ingredient.","You can use both flour and cornstarch to thicken soups, but the _ is a less common kitchen ingredient.",_,_,12,12,cornstarch,flour,6,4,6,4,more bizarre,less common,15,is,is,13,13
3-3L1EFR8WWT3FA364M8D0EPWAWYBF9Y,Christine kept badgering Monica to get her affection and attention because _ is the parent.,Christine kept badgering Monica to get her affection and attention because _ is the mother.,_,_,11,11,Monica,Christine,3,0,3,0,parent,mother,14,is,is,12,12
3-33BFF6QPI3PA0C2QFMYQJY3WFM9W3B,Amy's skirt is much shorter than the one that Victoria is wearing; _ wants little attention.,Amy's skirt is much shorter than the one that Victoria is wearing; _ wants less attention.,_,_,12,12,Victoria,Amy,9,0,9,0,little,less,14,wants,wants,13,13
3-3LB1BGHFL4AJOYVK92M5M8SBMJCYT3,Michael convinced Randy that his priceless glass vase was a knockoff because _ is gullible.,Michael convinced Randy that his priceless glass vase was a knockoff because _ is exploitable.,_,_,12,12,Randy,Michael,2,0,2,0,gullible,exploitable,14,is,is,13,13
3-34F34TZU7YDZ9A684N16BY4X8TA2JM,"Tanya really does not see many humans, just Laura; _ is more outgoing.","Tanya really does not see many humans, just Laura; _ is more social.",_,_,9,9,Laura,Tanya,8,0,8,0,more outgoing,more social,11,is,is,10,10
3-3JMNNNO3B126L570RO8L8QAWLUE2WC,I chose the milk chocolate bar over the dark chocolate chip for my reward because the _ was tiny.,I chose the milk chocolate bar over the dark chocolate chip for my reward because the _ was smaller.,_,_,16,16,chip,bar,10,5,10,5,tiny,smaller,18,was,was,17,17
3-3CRWSLD91MI3HP1YUICVY3ZHDZ4MOX,The alarm sounding in the other room got the birds quacking but James can only hear the quack because the _ is near.,The alarm sounding in the other room got the birds quacking but James can only hear the quack because the _ is closer.,_,_,20,20,quack,alarm,17,1,17,1,near,closer,22,is,is,21,21
3-3LEG2HW4UH1J48KCLXALW0C4EKU2FD,James put the egg in the refrigerator and the meat in the sun. Now the _ is warm.,James put the egg in the refrigerator and the meat in the sun. Now the _ is hot.,_,_,15,15,meat,egg,9,3,9,3,warm,hot,17,is,is,16,16
3-3YKP7CX6G2DLJ36V29TKH3EJM8W7BT,My trainer advised that both freelance job and salaried employment are great but the _ is relatively secure.,My trainer advised that both freelance job and salaried employment are great but the _ is more secure.,_,_,14,14,salaried employment,freelance job,8,5,8,5,relatively,more,16,is,is,15,15
3-3X52SWXE0ZJYDCY98F9RC17RM8DWCL,It took the food ten additional minutes to cook over the flame because the _ was too small.,It took the food ten additional minutes to cook over the flame because the _ was too weak.,_,_,14,14,flame,food,11,3,11,3,small,weak,17,was,was,15,15
3-3RWO3EJELJNO60RAGW6C3BG4PP01P8,James threw the ball into the basket but it could not enter it. The _ is very tiny.,James threw the ball into the basket but it could not enter it. The _ is very small.,_,_,14,14,basket,ball,6,3,6,3,tiny,small,17,is,is,15,15
3-3ZQA3IO31D56L0F91WTXEBBDE6T1OL,The cotton bud could not get into the ear of the hamster because the _ is small.,The cotton bud could not get into the ear of the hamster because the _ is narrow.,_,_,14,14,ear,bud,8,2,8,2,small,narrow,16,is,is,15,15
3-3NCN4N1H1IVPGDXP2EM95YOICS8BN0,Kyle handed the letter to Randy for help because _ is capable of reading.,Kyle handed the letter to Randy for help because _ is able to read.,_,_,9,9,Randy,Kyle,5,0,5,0,capable of reading,able to read,11,is,is,10,10
3-3N2YPY1GI8C0VLIIEWAQGNOFZH8EVF,"The dog treat outweighed the drink, hence James decided to add more drink because the _ is lightweight.","The dog treat outweighed the drink, hence James decided to add more drink because the _ is lighter.",_,_,15,15,drink,treat,5,2,5,2,lightweight,lighter,17,is,is,16,16
3-36GJS3V78X4PO4EF32MVD2YXHV5GJ8,"Emily can only do 10 push ups, while Laura can do 50, so _ is stout.","Emily can only do 10 push ups, while Laura can do 50, so _ is stronger.",_,_,13,13,Laura,Emily,8,0,8,0,stout,stronger,15,is,is,14,14
3-38LRF35D5NAX88DLKMJP1AIZUGPU3L,"Josh had to clean sand off his feet but not his hands after going to the beach because, in general, the _ touch the sand more rarely.","Josh had to clean sand off his feet but not his hands after going to the beach because, in general, the _ touch the sand less often.",_,_,21,21,hands,feet,11,7,11,7,more rarely,less often,25,touch,touch,22,22
3-3WPCIUYH1CMGQN0TD6ZR9NIA3C5TDM,The child was not happy with the shoe that slipped off his leg when he was running. The _ is tiny.,The child was not happy with the shoe that slipped off his leg when he was running. The _ is small.,_,_,18,18,leg,shoe,12,7,12,7,tiny,small,20,is,is,19,19
3-329E6HTMSYGJ5C89Q8FNVN91SR43KE,"Dennis has to dig more deeply than Jeffrey to get water, because _ lives near to a water source.","Dennis has to dig more deeply than Jeffrey to get water, because _ lives close to a water source.",_,_,12,12,Jeffrey,Dennis,7,0,7,0,near to,close to,14,lives,lives,13,13
3-3HA5ODM5KAQMBFOTVTIVD64M7ZGSVZ,Making food in the slow cooker suited Tanya but not Felicia because _ works quick hours.,Making food in the slow cooker suited Tanya but not Felicia because _ works shorter hours.,_,_,12,12,Felicia,Tanya,10,7,10,7,quick,shorter,14,works,works,13,13
3-3VMV5CHJZATJ27AKFW0ZF8L7GL9GT5,I can't concentrate in silence so I'd rather go to the cafe instead of the library to study since the _ is extremely quiet.,I can't concentrate in silence so I'd rather go to the cafe instead of the library to study since the _ is too quiet.,_,_,20,20,library,cafe,15,11,15,11,extremely,too,22,is,is,21,21
3-31KPKEKW4AB71S6BHA8B2O4WEWHB0S,The old capacitor would not fit in the box because the _ is too tight.,The old capacitor would not fit in the box because the _ is too straight.,_,_,11,11,box,capacitor,8,2,8,2,tight,straight,14,is,is,12,12
3-3EGKVCRQFY6JSC139GVKMEMPFVDYBF,James finished watching the movie while on a journey to his hometown. The _ was lengthy.,James finished watching the movie while on a journey to his hometown. The _ was long.,_,_,13,13,journey,movie,8,4,8,4,lengthy,long,15,was,was,14,14
3-3DWNFENNE599COLV81KU4D1VTAWJ4W,John had to buy another ring as it would not fit the finger of his fiancee. The _ is large.,John had to buy another ring as it would not fit the finger of his fiancee. The _ is big.,_,_,17,17,finger,ring,12,5,12,5,large,big,19,is,is,18,18
3-322ZSN9Z5IY3QRH0KVYY6JO3P6N4T6,Randy runs a trash removal service and he met Kyle at the job site; _ is the homeowner.,Randy runs a trash removal service and he met Kyle at the job site; _ is the property owner.,_,_,14,14,Kyle,Randy,9,0,9,0,homeowner,property owner,17,is,is,15,15
3-3XWUWJ18TN4H72Q4Z6FQOJ8Z7YSUUM,The milk gets colder when mixed with the ice cube in the cup because the _ is cool.,The milk gets colder when mixed with the ice cube in the cup because the _ is cold.,_,_,15,15,ice cube,milk,8,1,8,1,cool,cold,17,is,is,16,16
3-3Q9SPIIRWL0AKX1BO1D066H3MG8WAL,James was panting more heavily when he jogged on the street compared to when he jogged on the lawn because the _ is brief.,James was panting more heavily when he jogged on the street compared to when he jogged on the lawn because the _ is shorter.,_,_,21,21,lawn,street,18,10,18,10,brief,shorter,23,is,is,22,22
3-3LOJFQ4BOXD2TFBZZZ9ZGY75VBGKDN,Nancy preferred to eat popcorn rather than candy at the movies because the _ is sugary.,Nancy preferred to eat popcorn rather than candy at the movies because the _ is sweeter.,_,_,13,13,candy,popcorn,7,4,7,4,sugary,sweeter,15,is,is,14,14
3-3W1K7D6QSDVJX2B852X30LVQKMMZB3,Janet was able to prevent her pad from leaking her period because the _ was light.,Janet was able to prevent her pad from leaking her period because the _ was low.,_,_,13,13,period,pad,10,6,10,6,light,low,15,was,was,14,14
3-3OJX0UFJ01LJNA211VKZSNLMV7ZU93,John emptied the water from the bottle into the cup but we still have some left in the bottle. The _ is tiny.,John emptied the water from the bottle into the cup but we still have some left in the bottle. The _ is small.,_,_,20,20,cup,bottle,9,6,9,6,tiny,small,22,is,is,21,21
3-3VEI3XUCZTBCZ5QREQLR92YGSDDRPQ,James could see the other side of the room through the plate unlike the board that was there before. Definitely the _ is smoky.,James could see the other side of the room through the plate unlike the board that was there before. Definitely the _ is opaque.,_,_,21,21,board,plate,14,11,14,11,smoky,opaque,23,is,is,22,22
3-3CRWSLD91MI3HP1YUICVY3ZHE1HOMH,Leslie was able to jump to the top of the wall while leaving Brian behind because _ is small.,Leslie was able to jump to the top of the wall while leaving Brian behind because _ is short.,_,_,16,16,Brian,Leslie,13,0,13,0,small,short,18,is,is,17,17
3-3W9XHF7WGKT9A47WLP9EL2PRYZWKT2,I cannot forgive the hurt he made me feel as much as I love him because the _ is too little.,I cannot forgive the hurt he made me feel as much as I love him because the _ is too weak.,_,_,17,17,love,hurt,13,4,13,4,little,weak,20,is,is,18,18
3-3FDWKV9VCPGYUULVQ4O4X9R6WN5MUS,"Jeffrey has to take the medication for his diabetes, but Joel doesn't have that problem; _ is likely to eat much less sugar.","Jeffrey has to take the medication for his diabetes, but Joel doesn't have that problem; _ is likely to eat barely any sugar.",_,_,15,15,Joel,Jeffrey,10,0,10,0,much less,barely any,20,is,is,16,16
3-33CLA8O0MKP08S1X0NPMX8KDSL8FRP,The toilet is worse than my wife's closet because the _ is a wide space.,The toilet is worse than my wife's closet because the _ is a huge space.,_,_,10,10,closet,toilet,7,1,7,1,wide,huge,13,is,is,11,11
3-3UQVX1UPFSFDDF6FYHF01V1SF7V02Z,"Gmail is so yesterday, Samantha thought, as Jennifer talked about it; _ is left behind by new trends.","Gmail is so yesterday, Samantha thought, as Jennifer talked about it; _ is not aware of new trends.",_,_,11,11,Jennifer,Samantha,7,4,7,4,left behind by,not aware of,13,is,is,12,12
3-3ABAOCJ4RAI621EE9V4ZN8UHTXTQMB,We cannot see the letters written on the red shirt but we can see the numbers because the _ are gray.,We cannot see the letters written on the red shirt but we can see the numbers because the _ are white.,_,_,18,18,numbers,letters,15,4,15,4,gray,white,20,are,are,19,19
3-39O0SQZVJPLNTZMRI4RA9G7WTXTR70,The water did not get to the bottom of the bowl after James poured water on the soil in it. Just the _ is moist.,The water did not get to the bottom of the bowl after James poured water on the soil in it. Just the _ is wet.,_,_,22,22,soil,bowl,17,10,17,10,moist,wet,24,is,is,23,23
3-38VTL6WC4CRH3WKU8647JSMX5A7Y5G,"Although broccoli and steak can both be part of a healthy diet, the _ has insufficient antioxidants.","Although broccoli and steak can both be part of a healthy diet, the _ has fewer antioxidants.",_,_,13,13,steak,broccoli,3,1,3,1,insufficient,fewer,15,has,has,14,14
3-338GLSUI45PC971AFCPRNIP9D67SF7,I selected the hammer instead of the mallet as my tool choice since the _ is massive and I'm out of shape.,I selected the hammer instead of the mallet as my tool choice since the _ is heavier and I'm out of shape.,_,_,14,14,mallet,hammer,7,3,7,3,massive,heavier,16,is,is,15,15
3-33QQ60S6AUW1RGEO1Z16ZCKTSEM0U0,The trumpet had to be blown into the mic to be as audible as the drum because the _ was overwhelming.,The trumpet had to be blown into the mic to be as audible as the drum because the _ was louder.,_,_,18,18,drum,trumpet,15,1,15,1,overwhelming,louder,20,was,was,19,19
3-329E6HTMSW04BN926A3N3PLTZJHK3G,Playing Scrabble is fun for Hunter but not Joel because _ knows a lot of easy words.,Playing Scrabble is fun for Hunter but not Joel because _ knows a lot of simple words.,_,_,10,10,Joel,Hunter,8,5,8,5,easy,simple,15,knows,knows,11,11
3-3SNR5F7R947V9FYIFPB71YYMSK9EIS,James was writing a poem on his jotter when the ink finished. The _ is gone.,James was writing a poem on his jotter when the ink finished. The _ is low.,_,_,13,13,ink,poem,10,4,10,4,gone,low,15,is,is,14,14
3-3K8CQCU3KGFH4GV0X5I5SC12KIANWM,The avocado smeared over the tree when James threw it at the tree. The _ was pretty rigid.,The avocado smeared over the tree when James threw it at the tree. The _ was pretty hard.,_,_,14,14,tree,avocado,5,1,5,1,rigid,hard,17,was,was,15,15
3-3BPP3MA3TEYXZG6O0S8KTEQE9O3EL6,"The plane took off without any problems with the engine, but now it gets to altitude, and the _ has started to stutter suddenly.","The plane took off without any problems with the engine, but now it gets to altitude, and the _ has started to sputter.",_,_,18,18,engine,plane,9,1,9,1,stutter suddenly,sputter,22,has,has,19,19
