pair_id,sent_1,sent_2,split_sent_1,split_sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,choice_correct_1,choice_incorrect_1,choice_word_id_correct_1,choice_word_id_incorrect_1,choice_correct_2,choice_incorrect_2,choice_word_id_correct_2,choice_word_id_incorrect_2,context_1,context_word_id_1,context_2,context_word_id_2
29,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.","Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.","['Bob', 'was', 'playing', 'cards', 'with', 'Adam', 'and', 'was', 'way', 'ahead.', 'If', 'Adam', ""hadn't"", 'had', 'a', 'sudden', 'run', 'of', 'good', 'luck,', 'he', 'would', 'have', 'won.']","['Bob', 'was', 'playing', 'cards', 'with', 'Adam', 'and', 'was', 'way', 'ahead.', 'If', 'Adam', ""hadn't"", 'had', 'a', 'sudden', 'run', 'of', 'good', 'luck,', 'he', 'would', 'have', 'lost.']",he,he,20,20,Bob,Adam,0,5,Adam,Bob,5,0,won,23,lost,23
30,James asked Robert for a favor but he refused.,James asked Robert for a favor but he was refused.,"['James', 'asked', 'Robert', 'for', 'a', 'favor', 'but', 'he', 'refused.']","['James', 'asked', 'Robert', 'for', 'a', 'favor', 'but', 'he', 'was', 'refused.']",he,he,7,7,Robert,James,2,0,James,Robert,0,2,refused,8,was refused,8
31,Kirilov ceded the presidency to Shatov because he was more popular.,Kirilov ceded the presidency to Shatov because he was less popular.,"['Kirilov', 'ceded', 'the', 'presidency', 'to', 'Shatov', 'because', 'he', 'was', 'more', 'popular.']","['Kirilov', 'ceded', 'the', 'presidency', 'to', 'Shatov', 'because', 'he', 'was', 'less', 'popular.']",he,he,7,7,Shatov,Kirilov,5,0,Kirilov,Shatov,0,5,more,9,less,9
32,Tom threw his schoolbag down to Ray after he reached the top of the stairs.,Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,"['Tom', 'threw', 'his', 'schoolbag', 'down', 'to', 'Ray', 'after', 'he', 'reached', 'the', 'top', 'of', 'the', 'stairs.']","['Tom', 'threw', 'his', 'schoolbag', 'down', 'to', 'Ray', 'after', 'he', 'reached', 'the', 'bottom', 'of', 'the', 'stairs.']",he,he,8,8,Tom,Ray,0,6,Ray,Tom,6,0,top,11,bottom,11
33,Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.,Thomson visited Cooper's grave in 1765. At that date he had been dead for five years.,"['Thomson', 'visited', ""Cooper's"", 'grave', 'in', '1765.', 'At', 'that', 'date', 'he', 'had', 'been', 'travelling', 'for', 'five', 'years.']","['Thomson', 'visited', ""Cooper's"", 'grave', 'in', '1765.', 'At', 'that', 'date', 'he', 'had', 'been', 'dead', 'for', 'five', 'years.']",he,he,9,9,Thomson,Cooper,0,2,Cooper,Thomson,2,0,travelling,12,dead,12
34,"During a game of tag, Ethan chased Luke because he was ""it"".","During a game of tag, Ethan ran from Luke because he was ""it"".","['During', 'a', 'game', 'of', 'tag,', 'Ethan', 'chased', 'Luke', 'because', 'he', 'was', '""it"".']","['During', 'a', 'game', 'of', 'tag,', 'Ethan', 'ran', 'from', 'Luke', 'because', 'he', 'was', '""it"".']",he,he,9,10,Ethan,Luke,5,7,Luke,Ethan,8,5,chased,6,ran from,6
36,"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.","George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.","['George', 'got', 'free', 'tickets', 'to', 'the', 'play,', 'but', 'he', 'gave', 'them', 'to', 'Eric,', 'because', 'he', 'was', 'particularly', 'eager', 'to', 'see', 'it.']","['George', 'got', 'free', 'tickets', 'to', 'the', 'play,', 'but', 'he', 'gave', 'them', 'to', 'Eric,', 'even', 'though', 'he', 'was', 'particularly', 'eager', 'to', 'see', 'it.']",he,he,14,15,Eric,George,12,0,George,Eric,0,12,because,13,even though,13
37,Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,Dr. Adams informed Kate that she had retired and presented several options for future treatment.,"['Dr.', 'Adams', 'informed', 'Kate', 'that', 'she', 'had', 'cancer', 'and', 'presented', 'several', 'options', 'for', 'future', 'treatment.']","['Dr.', 'Adams', 'informed', 'Kate', 'that', 'she', 'had', 'retired', 'and', 'presented', 'several', 'options', 'for', 'future', 'treatment.']",she,she,5,5,Kate,Dr. Adams,3,0,Dr. Adams,Kate,0,3,cancer,7,retired,7
38,The sculpture rolled off the shelf because it wasn't level.,The sculpture rolled off the shelf because it wasn't anchored.,"['The', 'sculpture', 'rolled', 'off', 'the', 'shelf', 'because', 'it', ""wasn't"", 'level.']","['The', 'sculpture', 'rolled', 'off', 'the', 'shelf', 'because', 'it', ""wasn't"", 'anchored.']",it,it,7,7,The shelf,The sculpture,4,0,The sculpture,The shelf,0,4,level,9,anchored,9
39,"The sack of potatoes had been placed above the bag of flour, so it had to be moved first.","The sack of potatoes had been placed below the bag of flour, so it had to be moved first.","['The', 'sack', 'of', 'potatoes', 'had', 'been', 'placed', 'above', 'the', 'bag', 'of', 'flour,', 'so', 'it', 'had', 'to', 'be', 'moved', 'first.']","['The', 'sack', 'of', 'potatoes', 'had', 'been', 'placed', 'below', 'the', 'bag', 'of', 'flour,', 'so', 'it', 'had', 'to', 'be', 'moved', 'first.']",it,it,13,13,The sack of potatoes,The bag of flour,0,8,The bag of flour,The sack of potatoes,8,0,above,7,below,7
40,"We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.","We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.","['We', 'went', 'to', 'the', 'lake,', 'because', 'a', 'shark', 'had', 'been', 'seen', 'at', 'the', 'ocean', 'beach,', 'so', 'it', 'was', 'a', 'safer', 'place', 'to', 'swim.']","['We', 'went', 'to', 'the', 'lake,', 'because', 'a', 'shark', 'had', 'been', 'seen', 'at', 'the', 'ocean', 'beach,', 'so', 'it', 'was', 'a', 'dangerous', 'place', 'to', 'swim.']",it,it,16,16,The lake,The ocean beach,3,12,The ocean beach,The lake,12,3,safer,19,dangerous,19
42,"Susan knew that Ann's son had been in a car accident, because she told her about it.","Susan knew that Ann's son had been in a car accident, so she told her about it.","['Susan', 'knew', 'that', ""Ann's"", 'son', 'had', 'been', 'in', 'a', 'car', 'accident,', 'because', 'she', 'told', 'her', 'about', 'it.']","['Susan', 'knew', 'that', ""Ann's"", 'son', 'had', 'been', 'in', 'a', 'car', 'accident,', 'so', 'she', 'told', 'her', 'about', 'it.']",she,she,12,12,Ann,Susan,3,0,Susan,Ann,0,3,because,11,so,11
43,"Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.","Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.","['Alice', 'looked', 'for', 'her', 'friend', 'Jade', 'in', 'the', 'crowd.', 'Since', 'she', 'always', 'has', 'good', 'luck,', 'Alice', 'spotted', 'her', 'quickly.']","['Alice', 'looked', 'for', 'her', 'friend', 'Jade', 'in', 'the', 'crowd.', 'Since', 'she', 'always', 'wears', 'a', 'red', 'turban,', 'Alice', 'spotted', 'her', 'quickly.']",she,she,10,10,Alice,Jade,0,5,Jade,Alice,5,0,has good luck,12,wears a red turban,12
44,"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.","Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.","['Fred', 'and', 'Alice', 'had', 'very', 'warm', 'down', 'coats,', 'but', 'they', 'were', 'not', 'enough', 'for', 'the', 'cold', 'in', 'Alaska.']","['Fred', 'and', 'Alice', 'had', 'very', 'warm', 'down', 'coats,', 'but', 'they', 'were', 'not', 'prepared', 'for', 'the', 'cold', 'in', 'Alaska.']",they,they,9,9,coats,Fred and Alice,7,0,Fred and Alice,coats,0,7,enough,12,prepared,12
46,Steve follows Fred's example in everything. He influences him hugely.,Steve follows Fred's example in everything. He admires him hugely.,"['Steve', 'follows', ""Fred's"", 'example', 'in', 'everything.', 'He', 'influences', 'him', 'hugely.']","['Steve', 'follows', ""Fred's"", 'example', 'in', 'everything.', 'He', 'admires', 'him', 'hugely.']",He,He,6,6,Fred,Steve,2,0,Steve,Fred,0,2,influences,7,admires,7
47,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.","Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.","['Adam', ""can't"", 'leave', 'work', 'here', 'until', 'Bob', 'arrives', 'to', 'replace', 'him.', 'If', 'Bob', 'had', 'left', 'home', 'for', 'work', 'on', 'time,', 'he', 'would', 'be', 'gone', 'by', 'this', 'time.']","['Adam', ""can't"", 'leave', 'work', 'here', 'until', 'Bob', 'arrives', 'to', 'replace', 'him.', 'If', 'Bob', 'had', 'left', 'home', 'for', 'work', 'on', 'time,', 'he', 'would', 'be', 'here', 'by', 'this', 'time.']",he,he,20,20,Adam,Bob,0,6,Bob,Adam,6,0,gone,23,here,23
48,"The dog chased the cat, which ran up a tree. It waited at the bottom.","The dog chased the cat, which ran up a tree. It waited at the top.","['The', 'dog', 'chased', 'the', 'cat,', 'which', 'ran', 'up', 'a', 'tree.', 'It', 'waited', 'at', 'the', 'bottom.']","['The', 'dog', 'chased', 'the', 'cat,', 'which', 'ran', 'up', 'a', 'tree.', 'It', 'waited', 'at', 'the', 'top.']",It,It,10,10,The dog,The cat,0,3,The cat,The dog,3,0,bottom,14,top,14
49,"Tom said ""Check"" to Ralph as he moved his bishop.","Tom said ""Check"" to Ralph as he took his bishop.","['Tom', 'said', '""Check""', 'to', 'Ralph', 'as', 'he', 'moved', 'his', 'bishop.']","['Tom', 'said', '""Check""', 'to', 'Ralph', 'as', 'he', 'took', 'his', 'bishop.']",his,his,8,8,Tom,Ralph,0,4,Ralph,Tom,4,0,moved,7,took,7
50,"Jackson was greatly influenced by Arnold, though he lived two centuries later.","Jackson was greatly influenced by Arnold, though he lived two centuries earlier.","['Jackson', 'was', 'greatly', 'influenced', 'by', 'Arnold,', 'though', 'he', 'lived', 'two', 'centuries', 'later.']","['Jackson', 'was', 'greatly', 'influenced', 'by', 'Arnold,', 'though', 'he', 'lived', 'two', 'centuries', 'earlier.']",he,he,7,7,Jackson,Arnold,0,5,Arnold,Jackson,5,0,later,11,earlier,11
51,"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.","Although they ran at about the same speed, Sue beat Sally because she had such a good start.","['Although', 'they', 'ran', 'at', 'about', 'the', 'same', 'speed,', 'Sue', 'beat', 'Sally', 'because', 'she', 'had', 'such', 'a', 'bad', 'start.']","['Although', 'they', 'ran', 'at', 'about', 'the', 'same', 'speed,', 'Sue', 'beat', 'Sally', 'because', 'she', 'had', 'such', 'a', 'good', 'start.']",she,she,12,12,Sally,Sue,10,8,Sue,Sally,8,10,bad,16,good,16
52,The woman held the girl against her chest.,The woman held the girl against her will.,"['The', 'woman', 'held', 'the', 'girl', 'against', 'her', 'chest.']","['The', 'woman', 'held', 'the', 'girl', 'against', 'her', 'will.']",her,her,6,6,The woman,The girl,0,3,The girl,The woman,3,0,chest,7,will,7
53,The large ball crashed right through the table because it was made of styrofoam.,The large ball crashed right through the table because it was made of steel.,"['The', 'large', 'ball', 'crashed', 'right', 'through', 'the', 'table', 'because', 'it', 'was', 'made', 'of', 'styrofoam.']","['The', 'large', 'ball', 'crashed', 'right', 'through', 'the', 'table', 'because', 'it', 'was', 'made', 'of', 'steel.']",it,it,9,9,The table,The large ball,6,0,The large ball,The table,0,6,styrofoam,13,steel,13
54,"The path to the lake was blocked, so we couldn't use it.","The path to the lake was blocked, so we couldn't reach it.","['The', 'path', 'to', 'the', 'lake', 'was', 'blocked,', 'so', 'we', ""couldn't"", 'use', 'it.']","['The', 'path', 'to', 'the', 'lake', 'was', 'blocked,', 'so', 'we', ""couldn't"", 'reach', 'it.']",it,it,11,11,The path,The lake,0,3,The lake,The path,3,0,use,10,reach,10
55,Jane gave Joan candy because she was hungry.,Jane gave Joan candy because she wasn't hungry.,"['Jane', 'gave', 'Joan', 'candy', 'because', 'she', 'was', 'hungry.']","['Jane', 'gave', 'Joan', 'candy', 'because', 'she', ""wasn't"", 'hungry.']",she,she,5,5,Joan,Jane,2,0,Jane,Joan,0,2,was,6,wasn't,6
56,Fred watched TV while George went out to buy groceries. After an hour he got back.,Fred watched TV while George went out to buy groceries. After an hour he got up.,"['Fred', 'watched', 'TV', 'while', 'George', 'went', 'out', 'to', 'buy', 'groceries.', 'After', 'an', 'hour', 'he', 'got', 'back.']","['Fred', 'watched', 'TV', 'while', 'George', 'went', 'out', 'to', 'buy', 'groceries.', 'After', 'an', 'hour', 'he', 'got', 'up.']",he,he,13,13,George,Fred,4,0,Fred,George,0,4,back,15,up,15
58,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.","Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.","['Sam', 'and', 'Amy', 'are', 'passionately', 'in', 'love,', 'but', ""Amy's"", 'parents', 'are', 'unhappy', 'about', 'it,', 'because', 'they', 'are', 'snobs.']","['Sam', 'and', 'Amy', 'are', 'passionately', 'in', 'love,', 'but', ""Amy's"", 'parents', 'are', 'unhappy', 'about', 'it,', 'because', 'they', 'are', 'fifteen.']",they,they,15,15,Amy's parents,Sam and Amy,8,0,Sam and Amy,Amy's parents,0,8,snobs,17,fifteen,17
